Zodiac,Profession
pisces,Veteran
pisces,Legislator
aquarius,Physician
aquarius,Businessperson
pisces,Management consulting
aquarius,Lawyer
virgo,Diplomat
taurus,Lawyer
leo,Lawyer
aquarius,Lawyer
leo,Lawyer
leo,Judge
leo,Teacher
pisces,Economist
aquarius,Politician
libra,Ranch
libra,Idaho Military Department
sagittarius,Lawyer
pisces,Financial services
scorpio,Ethnography
aries,Jurist
aries,Politician
virgo,Lawyer
virgo,Journalist
virgo,Politician
pisces,Lawyer
cancer,Physician
scorpio,Librarian
capricorn,Attorneys in the United States
leo,Lawyer
leo,Professor
aries,Politician
aries,Farmer
leo,Firefighter
taurus,Engineer
taurus,Plasma (physics)
leo,Teacher
libra,History of the United States Constitution
libra,Pundit
aquarius,Politician
aquarius,Substitute teacher
aquarius,Office management
pisces,Housewife
pisces,Land tenure
sagittarius,Politician
aries,Lawyer
taurus,Social work
cancer,Farmer
pisces,Government of San Francisco
virgo,Lawyer
sagittarius,Politician
gemini,Historical linguistics
gemini,Academician
gemini,Academic administration
leo,Surgeon
leo,Professor
gemini,Businessperson
cancer,Businessperson
libra,Social work
scorpio,Politician
scorpio,Social work
sagittarius,Journalist
sagittarius,Social work
sagittarius,Advocate
virgo,Politician
capricorn,Agriculture
capricorn,Advocate
cancer,Politician
leo,Politician
libra,Politician
libra,Farmer
aries,Politician
aries,Politician
aries,Farmer
taurus,Soldier
cancer,Resistance movement
pisces,Politician
pisces,Businessperson
pisces,Society of Jesus
pisces,Mathematician
pisces,Professor
taurus,Education
scorpio,Politician
sagittarius,Lawyer
aries,Surveying
gemini,Clergy
capricorn,Lawyer
leo,Basketball
pisces,Lawyer
aries,Petroleum
sagittarius,Soldier
sagittarius,Journalist
sagittarius,Solicitor
sagittarius,Farmer
cancer,Politician
cancer,General manager
cancer,United States federal civil service
cancer,Arborist
aquarius,Attorneys in the United States
libra,Physicist
gemini,Academic administration
aquarius,Attorneys in the United States
aquarius,Politics of Australia
scorpio,Businessperson
scorpio,Legislator
libra,Lawyer
aquarius,Small business
libra,Lumber
libra,Logging
cancer,Teacher
libra,Teacher
gemini,Lawyer
scorpio,Lawyer
leo,Civil engineer
taurus,Teacher
aquarius,Lawyer
scorpio,Mayor
scorpio,Dentist
taurus,Teacher
leo,Musician
leo,Teacher
pisces,Politician
pisces,Social work
sagittarius,Businessperson
aries,Engineer
libra,Lawyer
sagittarius,Politician
gemini,Dentist
leo,Bank
leo,Surgeon
gemini,Professor
leo,Lawyer
leo,Legislator
leo,Bank
capricorn,Bookselling
capricorn,Engineer
taurus,Politician
sagittarius,Gastroenterology
taurus,Small business
gemini,Industrial engineering
pisces,Politician
pisces,Farmer
pisces,Teacher
virgo,Lawyer
cancer,Teacher
taurus,Journalist
taurus,Politician
aries,Politician
capricorn,Politician
leo,Lawyer
taurus,Politician
taurus,Businessperson
pisces,Lawyer
pisces,Social work
leo,AT&T Corporation
sagittarius,Politician
sagittarius,Attorney at law
pisces,Physician
capricorn,Politician
capricorn,Businessperson
virgo,Trade union
cancer,Legislator
sagittarius,Trade union
sagittarius,Politics
taurus,Optometry
pisces,Lawyer
pisces,Politician
cancer,Economist
virgo,Trade union
virgo,Politics
virgo,Academician
virgo,Police officer
pisces,Lawyer
sagittarius,Chiropractor
taurus,Lawyer
taurus,Lobbying
pisces,Real estate broker
aries,Barrister
scorpio,Teacher
taurus,Aluminium
taurus,Real estate broker
aries,Politician
aries,Attorney at law
taurus,Methodism
cancer,Barrister
capricorn,Politician
pisces,Attorney at law
leo,Member of parliament
capricorn,Lawyer
sagittarius,Attorneys in the United States
scorpio,Industrial engineering
capricorn,Politician
capricorn,Chief of police
virgo,Optometry
aquarius,Attorney at law
cancer,Registered nurse
pisces,Insurance
capricorn,Activism
scorpio,Lawyer
sagittarius,Politician
pisces,Teacher
pisces,Social work
virgo,Accounting
scorpio,Lawyer
taurus,Judge
taurus,Actor
aquarius,Economist
virgo,Engineer
virgo,Economist
taurus,Politician
pisces,Journalism
capricorn,Historian
capricorn,Politician
taurus,Judge
taurus,Jurist
cancer,Journalist
gemini,Economist
leo,Lawyer
leo,Lawyer
libra,Lawyer
capricorn,Journalist
cancer,Lawyer
cancer,Politician
capricorn,Literacy
aries,Economist
scorpio,Policy analysis
cancer,Emergency medical technician
cancer,Paramedic
cancer,Patrol
cancer,Prison officer
cancer,Minister (Christianity)
cancer,School resource officer
