Zodiac,Continent of Birth,Religion,Profession
leo,North America,NA,Lawyer
scorpio,North America,Christian,Politician
capricorn,North America,NA,Politician
capricorn,North America,NA,Secretary
aries,Europe,Christian,Lawyer
virgo,NA,NA,Faculty of Advocates
leo,North America,Christian,Lawyer
capricorn,North America,NA,Lawyer
taurus,North America,NA,Lawyer
taurus,North America,NA,Politician
taurus,North America,NA,Editing
capricorn,NA,NA,Pastor
cancer,NA,NA,Attorneys in the United States
sagittarius,NA,NA,State senator
aries,North America,NA,Rail transport
aries,North America,NA,Politician
aries,North America,NA,Bank
aries,North America,NA,Attorneys in the United States
NA,NA,NA,Lawyer
NA,NA,NA,Judge
NA,NA,NA,Politician
taurus,NA,Christian,Farmer
taurus,NA,Christian,Lumberjack
taurus,NA,Christian,Legislator
aries,NA,NA,Physician
aries,NA,NA,Antiquarian
gemini,NA,NA,Firefighter
scorpio,NA,Christian,Lawyer
libra,NA,NA,Faculty of Advocates
leo,NA,NA,Lawyer
leo,NA,NA,Politician
scorpio,NA,NA,Lawyer
aries,NA,Christian,Politician
cancer,North America,NA,Insurance
cancer,North America,NA,Real estate
pisces,NA,NA,Lawyer
pisces,NA,NA,Politician
pisces,NA,NA,Businessperson
leo,North America,NA,Lawyer
leo,North America,NA,Politician
leo,NA,NA,Lawyer
virgo,NA,NA,Diplomacy
sagittarius,NA,Christian,Attorneys in the United States
gemini,NA,Christian,Politician
gemini,NA,Christian,Dairy
pisces,NA,Christian,Barristers in England and Wales
virgo,NA,Christian,Wikt:Statesman
aquarius,North America,Christian,Lawyer
aquarius,North America,Christian,Politician
aquarius,North America,Christian,Officer (armed forces)
aries,NA,Christian,Lawyer
aries,NA,Christian,Judge
aries,NA,Christian,Politician
aries,NA,Christian,Officer (armed forces)
NA,NA,NA,Lawyer
leo,NA,NA,Lieutenant colonel
aquarius,NA,NA,Politician
aquarius,NA,NA,Plantations in the American South
scorpio,North America,NA,Journalist
scorpio,North America,NA,Diplomat
scorpio,North America,NA,United States Postmaster General
scorpio,North America,NA,Lawyer
scorpio,North America,NA,Soldier
cancer,NA,NA,Lawyer
scorpio,NA,NA,Mathematician
leo,Europe,NA,Academia
capricorn,Europe,Christian,Lawyer
capricorn,NA,NA,Politician
NA,NA,NA,Sailor
aries,Europe,NA,Oral and maxillofacial surgery
libra,South America,NA,Physician
sagittarius,NA,NA,Lawyer
sagittarius,NA,NA,Politician
cancer,Europe,Christian,Engineer
gemini,NA,NA,Lawyer
libra,South America,Christian,Military
aries,Europe,Christian,Politician
scorpio,South America,Christian,Lawyer
NA,NA,NA,Politician
capricorn,NA,Christian,Military
libra,NA,NA,Lawyer
leo,North America,Christian,Businessperson
cancer,Asia,Christian,Politician
aries,NA,NA,Politician
capricorn,NA,NA,Attorneys in the United States
taurus,South America,Christian,Lawyer
sagittarius,North America,Christian,Politician
NA,NA,NA,Politician
NA,NA,NA,Businessperson
cancer,South America,Christian,Lawyer
capricorn,NA,Christian,Politician
capricorn,NA,Christian,Singing
capricorn,NA,Christian,Actor
capricorn,NA,Christian,Television producer
taurus,Asia,Christian,Society of Jesus
taurus,Asia,Christian,Economist
taurus,Asia,Christian,Professor
NA,Europe,NA,Medicine
aquarius,NA,NA,Businessperson
pisces,NA,NA,Social anthropology
aquarius,NA,Christian,Attorney at law
taurus,NA,NA,Teacher
taurus,NA,NA,Legislator
libra,NA,NA,Businessperson
aries,South America,NA,Lawyer
cancer,NA,NA,Diplomacy
taurus,NA,NA,Accountant
virgo,NA,NA,Politician
virgo,NA,NA,Attorney at law
pisces,North America,Christian,Lawyer
sagittarius,North America,Christian,Lawyer
sagittarius,North America,Christian,Prosecutor
cancer,North America,NA,Public relations
cancer,North America,NA,Teacher
cancer,North America,NA,News broadcasting
cancer,NA,NA,University of Rhode Island
NA,Oceania,NA,Economist
NA,NA,NA,Faculty of Advocates
NA,NA,NA,Solicitor
aries,Asia,NA,Politician
aries,Asia,NA,Actor
aries,Asia,NA,Television presenter
aries,NA,NA,Tailor
pisces,NA,Christian,Attorneys in the United States
cancer,North America,Christian,Politician
cancer,North America,Christian,Farmer
cancer,North America,Christian,Ranch
aries,NA,Christian,Attorneys in the United States
NA,NA,NA,Academic administration
aries,Asia,NA,Mechanical engineering
aries,Asia,NA,Politician
leo,South America,NA,Mechanical engineering
leo,NA,Christian,Officer (armed forces)
taurus,Asia,NA,Diplomat
aquarius,North America,NA,Physician
aquarius,North America,NA,Politician
virgo,South America,Christian,Lawyer
leo,South America,Christian,Lawyer
cancer,South America,Christian,Lawyer
taurus,South America,Christian,Lawyer
taurus,South America,Christian,Lawyer
NA,NA,NA,Military
NA,Europe,NA,Kingdom of Naples
libra,NA,NA,Civil service
leo,NA,NA,Politician
leo,NA,NA,Economist
leo,North America,NA,Academic administration
virgo,NA,Christian,Industrial engineering
pisces,NA,Christian,Farmer
NA,North America,NA,Diplomacy
cancer,NA,NA,Lawyer
cancer,NA,NA,Judge
cancer,NA,NA,Journalist
cancer,North America,Christian,Attorneys in the United States
pisces,North America,NA,Lawyer
gemini,NA,NA,Teacher
gemini,NA,NA,Veteran
gemini,NA,NA,Legislator
gemini,NA,NA,Small business
gemini,NA,NA,Real estate appraisal
sagittarius,NA,NA,Lawyer
sagittarius,NA,NA,Public defender
gemini,NA,NA,Lawyer
gemini,NA,NA,Mayor
virgo,NA,NA,Politician
cancer,NA,NA,Dean (education)
taurus,NA,Christian,Soldier
taurus,NA,Christian,Politician
NA,NA,Jew,Lawyer
taurus,NA,Christian,Teacher
leo,NA,NA,Television producer
leo,NA,NA,Attorneys in the United States
gemini,NA,Christian,Small_Businessman
cancer,NA,NA,Attorneys in the United States
aries,NA,NA,Lawyer
aries,NA,NA,Politician
capricorn,NA,Christian,Teacher
virgo,North America,Christian,Business
virgo,North America,Christian,Politician
leo,South America,Christian,Politician
leo,NA,Buddhist,Lawyer
aries,NA,Christian,Lawyer
aries,NA,Christian,Politician
aries,NA,Christian,Diplomat
sagittarius,NA,NA,Economics
gemini,NA,NA,Lawyer
leo,North America,NA,Lawyer
capricorn,NA,NA,ProgressNow
leo,NA,NA,Lawyer
leo,NA,NA,Civil service
leo,NA,Christian,Economist
leo,NA,Christian,Professor
scorpio,North America,NA,Lawyer
aries,NA,NA,Diplomat
aries,NA,NA,Public administration
libra,NA,Christian,Civil engineering
libra,NA,Christian,Politician
scorpio,North America,Christian,Judge
scorpio,North America,Christian,Ranch
NA,Europe,NA,List of governors of Puerto Rico
aquarius,South America,NA,Association football
cancer,Europe,NA,Canadian Armed Forces
cancer,Europe,NA,Lieutenant general
sagittarius,North America,Christian,Journalist
sagittarius,North America,Christian,Politician
sagittarius,North America,Christian,Teacher
NA,NA,NA,Pilot in command
taurus,NA,NA,Professor
scorpio,NA,NA,Businessperson
leo,NA,Christian,Teacher
sagittarius,NA,NA,Surgeon
leo,NA,Jew,Lawyer
leo,NA,Jew,Politician
taurus,NA,NA,Barrister
taurus,North America,NA,Politician
taurus,North America,NA,Businessperson
taurus,North America,NA,Attorney at law
taurus,NA,Christian,Businessperson
taurus,NA,Christian,Legislator
leo,North America,Jew,Legislator
leo,North America,Jew,Attorney at law
aquarius,North America,NA,Politician
aquarius,North America,NA,Businessperson
cancer,NA,NA,List of corporate titles
virgo,NA,NA,Politician
gemini,North America,Christian,Ranch
leo,North America,Christian,Author
leo,North America,Christian,Physician
leo,North America,Christian,Politician
cancer,NA,NA,Publishing
sagittarius,NA,Christian,Farmer
sagittarius,NA,Christian,Legislator
sagittarius,NA,NA,Pharmacist
taurus,North America,Christian,Physician
libra,NA,NA,Politician
virgo,NA,NA,Teacher
aries,NA,Christian,Small business
pisces,NA,NA,Civil service
pisces,NA,NA,Columnist
pisces,NA,NA,Politician
aries,NA,NA,Soldier
aries,NA,NA,Diplomacy
gemini,NA,NA,Lawyer
gemini,NA,NA,Politician
taurus,NA,NA,Professor
taurus,NA,NA,Academic administration
gemini,NA,NA,Diplomacy
sagittarius,North America,NA,Lawyer
capricorn,NA,NA,Engineer
libra,NA,NA,Consultant
NA,North America,NA,Diplomacy
taurus,NA,NA,Lawyer
aquarius,North America,Christian,Politician
aquarius,North America,Christian,Actor
aquarius,North America,Christian,Sports commentator
NA,NA,NA,Attorney at law
virgo,NA,NA,Lawyer
virgo,NA,NA,Judge
virgo,NA,Christian,Lawyer
virgo,NA,Christian,Judge
taurus,NA,NA,Politician
capricorn,Europe,NA,Research
sagittarius,NA,Christian,Pharmacist
NA,NA,Buddhist,Civil service
aries,Asia,NA,Feminism
aries,Asia,NA,Politician
aries,Asia,NA,Social work
aries,Asia,NA,Advocate
aries,Asia,NA,Mental health counselor
pisces,NA,NA,Lawyer
pisces,NA,NA,Lawyer
pisces,NA,NA,Editing
cancer,North America,Christian,Politician
cancer,North America,Christian,Attorney at law
gemini,NA,NA,Businessperson
gemini,NA,NA,General_Nurse
libra,NA,NA,Politician
scorpio,NA,NA,Insurance broker
scorpio,NA,NA,Physician
aquarius,NA,Christian,Nursing
taurus,NA,NA,Lawyer
NA,South America,Christian,Lawyer
NA,NA,NA,Politician
NA,NA,NA,Diplomat
NA,NA,NA,Professor
gemini,NA,Christian,Scientist
gemini,NA,Christian,Farmer
gemini,NA,Christian,Professor
gemini,North America,Christian,Lawyer
NA,North America,NA,Diplomacy
NA,North America,NA,List of United States Foreign Service Career Ambassadors
leo,NA,Christian,Solicitor
leo,NA,Christian,Advocate
capricorn,NA,NA,Pharmacist
leo,North America,Christian,Nursing
leo,North America,Christian,Small business
cancer,NA,Christian,Paralegal
capricorn,South America,Christian,Political science
aries,NA,Hindu,Farmer
cancer,NA,Christian,Physical therapy
taurus,NA,NA,Teacher
aries,North America,NA,Politician
aries,North America,NA,Attorney at law
cancer,NA,NA,Lawyer
pisces,NA,NA,Politician
pisces,NA,NA,Professor
sagittarius,NA,NA,Lawyer
gemini,Africa,Christian,Politician
aquarius,NA,NA,Lawyer
taurus,NA,NA,Bank
aries,NA,NA,Politician
aries,NA,NA,Businessperson
leo,NA,NA,Lawyer
leo,NA,NA,Politician
leo,NA,NA,Diplomat
capricorn,NA,NA,Chartered accountant
cancer,NA,NA,Astronaut
cancer,NA,NA,Engineer
cancer,NA,NA,Test pilot
scorpio,NA,NA,Lawyer
scorpio,NA,NA,Ranch
libra,Europe,NA,Veterinary physician
aquarius,NA,Christian,Writer
aquarius,NA,Christian,Politician
virgo,NA,NA,Politician
aquarius,NA,NA,Police officer
capricorn,NA,NA,Barrister
capricorn,NA,NA,Solicitor
capricorn,NA,NA,Journalist
libra,NA,Christian,United Methodist Church
libra,NA,Christian,Attorneys in the United States
scorpio,North America,Christian,Politician
leo,NA,NA,Lawyer
cancer,NA,NA,Lawyer
capricorn,NA,NA,Surgeon
gemini,NA,NA,Academic administration
cancer,NA,NA,Lawyer
libra,NA,Christian,Attorneys in the United States
sagittarius,NA,NA,Dentist
aries,North America,Christian,Lawyer
capricorn,NA,Christian,Politician
pisces,South America,NA,Diplomat
aquarius,NA,NA,Chiropractor
taurus,NA,Christian,Politician
taurus,NA,Christian,Pastor
aries,NA,NA,Lawyer
aries,NA,NA,Politician
scorpio,NA,NA,Civil service
taurus,NA,NA,Jurist
sagittarius,South America,NA,Economist
gemini,North America,Christian,Lawyer
cancer,NA,NA,Dentistry
virgo,Europe,NA,Journalist
pisces,Asia,NA,Politician
libra,NA,NA,Businessperson
libra,North America,Christian,Law
sagittarius,NA,NA,Lawyer
sagittarius,North America,NA,Lawyer
sagittarius,North America,NA,Politician
taurus,North America,NA,Lawyer
taurus,North America,NA,Judge
taurus,North America,NA,Politician
pisces,North America,NA,Politician
pisces,North America,NA,Manufacturing
virgo,NA,Christian,Politician
taurus,NA,Christian,Diplomat
taurus,NA,Christian,Military
NA,Asia,Muslim,Lawyer
leo,Europe,NA,Businessperson
leo,Europe,NA,Economist
cancer,NA,NA,Physicist
cancer,NA,NA,Engineer
cancer,NA,NA,Politician
cancer,NA,NA,Economist
cancer,NA,NA,Politician
pisces,NA,NA,Politician
NA,North America,NA,Legislative Assembly of Costa Rica
libra,North America,NA,Lawyer
libra,North America,NA,Politician
gemini,NA,NA,Teacher
scorpio,North America,NA,Diplomacy
pisces,Asia,Muslim,Politician
scorpio,NA,NA,Lawyer
sagittarius,NA,Muslim,Diplomat
scorpio,NA,Muslim,Soldier
scorpio,NA,Muslim,Politician
scorpio,NA,NA,Lawyer
NA,Asia,NA,Diplomat
gemini,NA,NA,Bricklayer
pisces,North America,NA,Politician
pisces,North America,NA,General officer
scorpio,North America,Christian,Attorneys in the United States
gemini,Oceania,Christian,Lawyer
virgo,NA,NA,Surgeon
taurus,NA,NA,Farmer
leo,NA,Muslim,Mechanical engineering
taurus,NA,Christian,Author
taurus,NA,Christian,Teacher
taurus,NA,Christian,Academic administration
taurus,NA,Christian,Superintendent (education)
libra,North America,NA,Author
libra,North America,NA,Politician
NA,NA,NA,Lawyer
scorpio,South America,Christian,Lawyer
virgo,NA,NA,Sociology
libra,North America,Christian,Lawyer
aries,Europe,NA,Physician
aries,Europe,NA,Professor
aries,Europe,NA,Academic administration
pisces,NA,NA,Politician
gemini,NA,NA,Diplomacy
gemini,NA,NA,List of United States Foreign Service Career Ambassadors
sagittarius,North America,Christian,Physical therapy
scorpio,NA,Christian,Lawyer
capricorn,NA,Christian,Lawyer
capricorn,NA,Christian,Legislator
virgo,Europe,NA,Historian
taurus,NA,NA,Political science
pisces,NA,NA,Horticulture
gemini,NA,NA,Businessperson
gemini,NA,NA,Forester
scorpio,NA,NA,Economist
scorpio,NA,NA,Diplomat
aquarius,Europe,NA,Politician
aquarius,Europe,NA,Teacher
scorpio,Asia,Hindu,Politician
NA,NA,Hindu,Academician
NA,Asia,Hindu,Politician
virgo,NA,NA,Social work
aquarius,NA,Hindu,Politician
capricorn,NA,Hindu,Agriculture
aries,NA,NA,Politician
cancer,NA,NA,Businessperson
libra,Asia,Hindu,Education
libra,Asia,Hindu,Politician
libra,Asia,Hindu,Social work
aquarius,NA,NA,Lawyer
aries,NA,Hindu,Politician
virgo,Asia,NA,Professor
capricorn,NA,NA,Agriculture
leo,NA,NA,Writer
leo,NA,NA,Advocate
aquarius,NA,Muslim,Professor
pisces,NA,Hindu,Lawyer
capricorn,Asia,NA,Politician
taurus,NA,Buddhist,Physician
pisces,NA,Hindu,Farmer
pisces,NA,Hindu,Businessperson
NA,Asia,NA,Engineer
aries,South America,Christian,Military
pisces,NA,Hindu,Farmer
leo,NA,Hindu,Lawyer
aquarius,NA,NA,Politician
NA,North America,NA,Engineer
virgo,NA,Christian,Soldier
virgo,NA,Christian,Engineer
gemini,NA,NA,Businessperson
gemini,NA,NA,Civil service
aquarius,NA,Christian,Politician
pisces,NA,Christian,Politician
pisces,NA,Christian,Actor
sagittarius,Europe,Christian,Lawyer
aries,NA,Hindu,Businessperson
scorpio,NA,Hindu,Farmer
scorpio,NA,Hindu,Businessperson
leo,NA,Hindu,Lawyer
leo,NA,Hindu,Farmer
sagittarius,NA,NA,Businessperson
pisces,South America,Christian,Neurosurgery
virgo,NA,NA,Soldier
scorpio,NA,NA,Lawyer
gemini,NA,Christian,Lawyer
gemini,NA,NA,Politician
cancer,NA,NA,Politics
virgo,NA,NA,Engineer
NA,NA,NA,Chemist
NA,NA,NA,Politician
NA,NA,NA,Politician
NA,North America,Christian,Lawyer
NA,North America,Christian,Politician
libra,NA,Muslim,Economist
NA,NA,NA,Surgeon
capricorn,Europe,NA,Journalist
sagittarius,NA,Jew,Businessperson
virgo,NA,Christian,General contractor
capricorn,NA,Christian,Businessperson
capricorn,NA,Christian,Legislator
cancer,North America,Christian,Politician
pisces,NA,NA,Agriculture
pisces,NA,NA,Education
pisces,NA,NA,Politician
pisces,NA,NA,Social work
sagittarius,Europe,NA,Economist
libra,NA,Hindu,Farmer
leo,NA,NA,Lawyer
leo,North America,NA,Diplomat
leo,North America,NA,Civil service
capricorn,NA,NA,Pharmacist
leo,NA,NA,Police officer
sagittarius,NA,NA,Medicine
NA,NA,NA,Lawyer
libra,Africa,Muslim,Officer (armed forces)
aquarius,Asia,NA,Cardiology
pisces,NA,Muslim,Politician
leo,NA,Muslim,Lawyer
leo,NA,Muslim,Social work
scorpio,Asia,NA,Mechanical engineering
scorpio,Asia,NA,Nuclear power
taurus,NA,Buddhist,Politician
scorpio,North America,NA,Federal Bureau of Investigation
scorpio,North America,NA,Businessperson
sagittarius,Asia,NA,Politician
cancer,NA,NA,Activism
pisces,NA,Christian,Management accounting
virgo,Asia,NA,Lawyer
cancer,NA,Hindu,Agriculture
virgo,NA,Hindu,Lawyer
cancer,NA,Hindu,Agriculture
NA,Asia,Hindu,Politician
aries,Africa,Muslim,Journalist
aries,Africa,Muslim,Politician
aries,Africa,Muslim,Teacher
virgo,Oceania,NA,Barrister
pisces,North America,NA,Lawyer
pisces,North America,NA,Politician
libra,NA,Christian,Lawyer
aries,North America,NA,Physician
leo,NA,NA,Professor
leo,NA,NA,Sailor
aquarius,NA,NA,Retired_College_Professor
NA,NA,NA,Businessperson
cancer,NA,Christian,Legislator
cancer,NA,Christian,Real estate appraisal
cancer,NA,NA,Police
cancer,NA,NA,Civil service
pisces,Europe,NA,French Civil Service
virgo,Europe,NA,Diplomat
gemini,North America,NA,Lawyer
gemini,NA,Christian,Trade union
leo,NA,Christian,Dentist
leo,NA,NA,Publishing
cancer,North America,NA,Farmer
aries,NA,NA,Lawyer
scorpio,NA,Christian,Priest
virgo,NA,Christian,Politician
virgo,NA,Christian,Businessperson
libra,NA,NA,Police
virgo,NA,Christian,Baseball
virgo,NA,Christian,Lawyer
libra,NA,Christian,Worcester_Housing_Authority
aquarius,NA,NA,Professor
pisces,NA,Christian,Lawyer
pisces,NA,Christian,Politician
virgo,NA,NA,Lawyer
NA,NA,NA,Civil service
NA,NA,NA,Teacher
libra,NA,NA,Legislative council
capricorn,NA,Muslim,Landed_Proprietor
pisces,South America,Christian,Lawyer
pisces,North America,Christian,Public relations
aquarius,NA,Christian,Lawyer
scorpio,NA,NA,Nursing
gemini,North America,NA,Lawyer
gemini,North America,NA,Politician
sagittarius,NA,NA,Economics
virgo,NA,Muslim,Physician
cancer,NA,NA,Barrister
taurus,NA,Christian,Lawyer
taurus,NA,Christian,Legal education
NA,NA,Christian,Teacher
pisces,NA,Christian,Barrister
aries,NA,Christian,Teacher
aries,NA,Christian,Attorneys in the United States
capricorn,Africa,NA,Pottery
capricorn,Africa,NA,Politician
virgo,NA,Christian,Architect
sagittarius,Europe,NA,Agricultural engineering
sagittarius,NA,Christian,Writer
sagittarius,NA,Christian,Journalist
sagittarius,NA,Christian,Radio personality
libra,Europe,NA,Political science
virgo,NA,NA,Politician
taurus,Europe,Christian,Trade union
taurus,Europe,Christian,Politician
leo,Europe,NA,Lawyer
taurus,Europe,NA,Politician
taurus,Europe,NA,Economist
libra,Europe,Christian,Priest
taurus,Europe,NA,Physician
aries,NA,NA,Social innovation
sagittarius,NA,Christian,Mount Mercy University
virgo,NA,NA,Social work
virgo,NA,NA,Advocate
pisces,NA,NA,Journalist
pisces,NA,NA,Politician
libra,NA,NA,Physician
aquarius,NA,NA,Teacher
virgo,North America,Christian,Journalist
aquarius,NA,NA,Journalist
aries,Asia,Christian,Lawyer
aries,Asia,Christian,Politician
capricorn,North America,NA,Agronomy
scorpio,NA,NA,Lawyer
scorpio,NA,NA,Judge
scorpio,NA,NA,Politician
libra,NA,NA,Pastor
gemini,NA,NA,Law
gemini,North America,NA,Lawyer
gemini,North America,NA,Politician
libra,North America,NA,Politician
libra,North America,NA,Actor
cancer,NA,NA,Economist
cancer,NA,NA,Academician
leo,NA,Muslim,Professor
aquarius,NA,Christian,Military
scorpio,Asia,Muslim,Electrical engineering
aries,NA,NA,Politician
aries,NA,NA,Economist
NA,NA,NA,Journalist
leo,Asia,NA,Politician
NA,Asia,Muslim,Lawyer
NA,NA,NA,Police officer
gemini,North America,NA,Civil service
sagittarius,Oceania,Christian,Politician
sagittarius,Oceania,Christian,Businessperson
capricorn,NA,NA,Surveying
virgo,NA,NA,Lawyer
gemini,NA,NA,Cavalry
scorpio,Europe,Christian,Economist
NA,NA,Christian,Industrial engineering
NA,NA,NA,List of governors of Puerto Rico
libra,Europe,NA,Businessperson
cancer,NA,NA,Lawyer
cancer,NA,Christian,Veteran
cancer,NA,Christian,Legislator
cancer,NA,Christian,Financial adviser
cancer,NA,Christian,Small business
gemini,NA,Christian,Hernando County Sheriff's Office
aries,NA,Christian,Lawyer
scorpio,NA,NA,Professors in the United States
NA,NA,NA,Law enforcement
cancer,North America,NA,Politician
NA,Europe,NA,Architect
virgo,NA,NA,Physician
virgo,NA,NA,Civil service
virgo,NA,NA,Professor
cancer,NA,NA,Legal profession
capricorn,North America,Christian,Soldier
scorpio,NA,Christian,Teacher
cancer,Asia,NA,Diplomacy
cancer,Asia,NA,Diplomatic rank
scorpio,NA,NA,Wikt:statesman
cancer,North America,NA,Politician
cancer,North America,NA,Attorney at law
aquarius,NA,NA,Barrister
cancer,North America,NA,Entrepreneurship
libra,NA,NA,Politician
aries,NA,NA,Biologist
leo,NA,NA,Lawyer
leo,NA,NA,Surveying
leo,NA,Christian,Lawyer
pisces,North America,NA,Paramedic
pisces,North America,NA,Small business
pisces,North America,NA,Fire captain
gemini,NA,NA,General practitioner
aquarius,NA,Christian,Journalist
cancer,NA,NA,Mayor
aquarius,NA,NA,Lawyer
capricorn,NA,Christian,Politician
capricorn,NA,Christian,Businessperson
capricorn,NA,Christian,Veteran
capricorn,NA,Christian,Ambassadors of the United States
pisces,NA,NA,Diplomat
aries,NA,NA,Lawyer
aries,NA,NA,Politician
aries,NA,NA,Farmer
virgo,NA,NA,Geology
virgo,NA,NA,Diplomacy
pisces,NA,NA,Professor
sagittarius,NA,Christian,Colonel (United States)
scorpio,NA,Buddhist,Barrister
aries,NA,Christian,Goldsmiths University of London
aries,North America,Christian,Minister (Christianity)
libra,North America,Christian,Professor
virgo,NA,NA,Editor-in-chief
leo,NA,NA,Barrister
aquarius,NA,NA,Law
libra,NA,NA,Archaeology
NA,NA,Christian,Officer (armed forces)
NA,NA,Christian,Lieutenant governor
scorpio,North America,NA,Author
scorpio,North America,NA,Lawyer
scorpio,North America,NA,Journalist
leo,NA,Christian,Lawyer
leo,NA,Christian,Judge
scorpio,NA,NA,Barrister
leo,NA,NA,Social work
aries,NA,NA,Faculty of Advocates
gemini,NA,NA,Lawyer
gemini,NA,NA,Politician
virgo,North America,NA,University of Denver
taurus,North America,NA,Manufacturing
taurus,Oceania,NA,Professor
NA,NA,Christian,Businessperson
scorpio,NA,NA,Lawyer
aquarius,NA,NA,Management
cancer,NA,NA,Lawyer
cancer,NA,NA,Trade union
cancer,NA,NA,Politician
aquarius,NA,NA,Lawyer
aquarius,NA,NA,Politician
aries,North America,NA,Politician
aries,North America,NA,Stockbroker
aries,NA,NA,Teacher
capricorn,NA,NA,Lawyer
capricorn,NA,NA,Politician
virgo,North America,Christian,Lawyer
virgo,North America,Christian,Politician
NA,NA,Christian,Professor
NA,NA,Christian,Academic administration
aquarius,North America,NA,Politician
aquarius,North America,NA,Teacher
leo,NA,Christian,Soldier
leo,NA,Christian,Politician
scorpio,NA,NA,Pediatrics
pisces,Asia,Buddhist,Teacher
cancer,Europe,NA,Barrister
virgo,NA,Jew,Political science
aries,NA,NA,Military
virgo,NA,NA,Lawyer
scorpio,NA,NA,Lawyer
cancer,NA,NA,Lawyer
cancer,NA,NA,Judge
libra,NA,NA,Barristers in England and Wales
gemini,Africa,NA,Physician
sagittarius,NA,NA,Underwriting
gemini,North America,NA,Politics of the United States
NA,North America,NA,Surgeon
capricorn,NA,Christian,Lawyer
taurus,NA,Christian,Architect
cancer,NA,NA,Physician
aquarius,NA,NA,Diplomat
aquarius,NA,NA,Professor
aquarius,NA,NA,Attorney at law
gemini,NA,NA,Lawyer
capricorn,NA,NA,Politician
libra,NA,Christian,Attorneys in the United States
virgo,NA,NA,Lawyer
sagittarius,NA,NA,Politician
sagittarius,NA,NA,Pharmacist
virgo,North America,NA,Lawyer
cancer,North America,NA,Diplomacy
gemini,North America,Christian,Sheriffs in the United States
NA,NA,NA,Journalist
NA,NA,NA,Financier
NA,NA,NA,Blacksmith
NA,NA,NA,Event management
aquarius,North America,Christian,Soldier
aquarius,North America,Christian,Broadcasting
aquarius,North America,Christian,Businessperson
aries,NA,NA,Lobbying
aries,NA,NA,Businessperson
NA,NA,NA,Attorneys in the United States
gemini,NA,Jew,Attorneys in the United States
NA,NA,NA,Lawyer
pisces,NA,NA,Businessperson
pisces,NA,NA,Legislator
aries,NA,NA,Economics
sagittarius,NA,NA,Politician
leo,North America,NA,ASU Foundation for A New American University
virgo,NA,NA,Journalist
NA,NA,Christian,Politician
NA,NA,Christian,Businessperson
NA,NA,Christian,Singing
NA,NA,Christian,Entrepreneurship
gemini,NA,NA,Diplomacy
aries,NA,Muslim,Lawyer
gemini,NA,NA,Barrister
gemini,NA,NA,High Court judge (England and Wales)
libra,Europe,NA,Canon law
NA,NA,NA,Acting (law)
sagittarius,NA,NA,Teacher
sagittarius,NA,NA,Officer (armed forces)
cancer,Asia,NA,Advocate
cancer,NA,Christian,Lawyer
cancer,NA,NA,Lawyer
aquarius,North America,NA,Diplomacy
NA,NA,NA,Certified Public Accountant
pisces,North America,NA,Paramedic
pisces,North America,NA,Firefighter
leo,NA,NA,Politician
leo,NA,NA,Chartered accountant
taurus,NA,NA,Spymaster
libra,NA,Hindu,Businessperson
aquarius,North America,NA,Professor
NA,NA,Hindu,Civil service
aquarius,North America,NA,Lawyer
aries,NA,Muslim,Politician
aries,NA,Muslim,Social work
aries,NA,Muslim,Advocate
virgo,Asia,Muslim,Politician
capricorn,NA,Christian,Indian Administrative Service
capricorn,NA,Christian,Social work
libra,NA,NA,Lawyer
libra,NA,NA,Politician
sagittarius,NA,NA,Politician
aries,Asia,NA,Agriculture
aries,Asia,NA,Politician
aries,Asia,NA,Transporter vehicle
sagittarius,NA,NA,Engineer
aquarius,NA,Christian,Officer (armed forces)
aquarius,Europe,NA,Sociology
pisces,Europe,NA,Economics
gemini,NA,Christian,Psychiatrist
pisces,Europe,Christian,Engineer
cancer,NA,NA,Electronic engineering
NA,Europe,NA,Canon law
taurus,NA,Christian,Teacher
taurus,NA,NA,Politics
pisces,South America,Christian,Lawyer
libra,NA,Christian,Attorneys in the United States
scorpio,NA,NA,Politician
capricorn,NA,NA,Lawyer
capricorn,NA,NA,Politician
capricorn,South America,Christian,Lawyer
scorpio,NA,Christian,Lawyer
gemini,NA,NA,Lawyer
aquarius,NA,NA,Politician
pisces,NA,NA,Physician
pisces,NA,NA,Civil service
capricorn,Asia,NA,Mechanical engineering
capricorn,Asia,NA,Businessperson
aquarius,South America,Christian,Lawyer
libra,NA,Christian,Lawyer
sagittarius,South America,Christian,Economist
pisces,South America,Christian,Industrial engineering
aquarius,Europe,NA,Politician
aquarius,Europe,NA,Linguistics
aquarius,NA,NA,Lawyer
aries,South America,Christian,Lawyer
scorpio,Asia,NA,Farmer
aries,NA,NA,Politician
aries,NA,Christian,Physician
virgo,NA,Christian,Officer (armed forces)
sagittarius,Europe,NA,Magistrate
virgo,Europe,Christian,Politics
sagittarius,NA,Hindu,Peshwa
aquarius,NA,NA,Agriculture
scorpio,Europe,NA,Electrical engineering
sagittarius,Africa,NA,Businessperson
sagittarius,Africa,NA,Entrepreneurship
NA,Asia,NA,Writer
NA,Asia,NA,Politician
capricorn,NA,Christian,Mechanical engineering
gemini,NA,Christian,Lawyer
NA,Asia,Muslim,Lawyer
NA,Asia,Muslim,Politician
capricorn,NA,NA,Philosopher
sagittarius,NA,NA,Politician
gemini,North America,NA,Lawyer
gemini,North America,NA,Lecturer
cancer,NA,Hindu,Farmer
