Zodiac,Continent of Birth,Religion,Profession
pisces,NA,NA,Lawyer
virgo,NA,NA,Jurist
aquarius,South America,NA,Architect
aquarius,South America,NA,Politician
cancer,South America,NA,Diplomat
sagittarius,Europe,Christian,Prosecutor
gemini,South America,Christian,Lawyer
taurus,NA,NA,Rear admiral
scorpio,North America,NA,Diplomacy
aries,NA,Christian,Lawyer
libra,NA,NA,Physician
sagittarius,NA,NA,Sheriff
taurus,NA,NA,University of Chicago
NA,NA,Christian,Dentistry
capricorn,NA,NA,Member of parliament
capricorn,NA,NA,Justice of the peace
virgo,South America,NA,Military
gemini,South America,NA,Physician
leo,South America,NA,Lawyer
aries,South America,Christian,Civil engineer
aquarius,South America,Christian,Lawyer
NA,South America,NA,Economist
taurus,NA,Christian,Lawyer
taurus,North America,Christian,Lawyer
NA,North America,NA,Politician
aries,South America,Christian,Economist
libra,Europe,NA,Engineer
libra,Europe,NA,Economist
NA,NA,NA,Soldier
libra,NA,NA,Political science
libra,NA,NA,Blog
taurus,NA,NA,Judge
taurus,NA,NA,Prosecutor
libra,Europe,Christian,Professor
taurus,NA,NA,Politician
taurus,NA,NA,Academia
pisces,NA,NA,Civil engineer
gemini,NA,NA,Technician
libra,NA,Buddhist,Politician
capricorn,NA,Christian,Acting
libra,NA,Christian,Lawyer
libra,NA,Christian,Journalist
gemini,Europe,NA,Journalist
gemini,Europe,NA,Politician
gemini,Europe,NA,External_and_Institutional_Director_Hitachi_Rail_Italy
taurus,NA,Christian,Solicitor
aquarius,NA,NA,Barrister
sagittarius,NA,NA,Physician
virgo,NA,Christian,Political consulting
sagittarius,Africa,NA,Business administration
sagittarius,NA,NA,Police officer
libra,North America,Christian,Lawyer
gemini,Europe,Christian,Lawyer
capricorn,NA,Christian,Economist
leo,NA,Christian,Real estate
leo,NA,Christian,Attorneys in the United States
sagittarius,Africa,Muslim,Soldier
leo,NA,NA,Social work
capricorn,NA,Christian,Politician
leo,Europe,Christian,Soldier
leo,Africa,NA,Politician
aries,NA,NA,Plantations in the American South
aries,NA,Christian,Officer (armed forces)
capricorn,North America,NA,Lawyer
virgo,NA,Christian,Politician
virgo,NA,Christian,Economist
scorpio,NA,NA,Lawyer
scorpio,NA,NA,Bank
scorpio,NA,NA,Financier
gemini,NA,Christian,Politician
NA,NA,NA,Sailor
NA,NA,NA,Plantations in the American South
leo,NA,NA,Lawyer
leo,NA,NA,Judge
cancer,North America,NA,Lawyer
cancer,North America,NA,Politician
cancer,NA,NA,Barrister
cancer,NA,NA,Lawyer
NA,NA,NA,Public figure
scorpio,NA,NA,Lawyer
pisces,Asia,NA,Politician
pisces,Asia,NA,Businessperson
sagittarius,NA,NA,Teacher
taurus,NA,NA,Skiing
aries,Asia,NA,Physician
aries,Asia,NA,Scientist
leo,NA,NA,Draper
capricorn,Asia,NA,Solicitor
leo,North America,NA,Physician
virgo,NA,NA,Mechanical engineering
capricorn,NA,Christian,Mechanical engineering
gemini,NA,NA,Lawyer
scorpio,NA,NA,Lawyer
scorpio,NA,NA,Judge
scorpio,NA,NA,Politician
leo,NA,NA,Faculty of Advocates
cancer,Europe,NA,Lawyer
cancer,Europe,NA,Judge
cancer,Europe,NA,Politician
cancer,Europe,NA,Farmer
scorpio,NA,NA,Lawyer
scorpio,NA,NA,Judge
scorpio,NA,NA,Politician
gemini,NA,Buddhist,Architect
libra,NA,NA,Minister (Christianity)
libra,NA,Jew,Teacher
capricorn,North America,NA,Lawyer
capricorn,North America,NA,Politician
capricorn,North America,NA,Farmer
capricorn,North America,NA,Surveying
capricorn,North America,NA,Editing
capricorn,North America,NA,Teacher
capricorn,North America,NA,Officer (armed forces)
capricorn,North America,NA,Media proprietor
gemini,NA,NA,Faculty of Advocates
virgo,NA,Hindu,Teacher
virgo,NA,Hindu,Head teacher
leo,Europe,NA,Politician
gemini,Asia,NA,Physician
virgo,South America,Christian,Lawyer
aquarius,NA,Atheist/Agnostics,Lawyer
aquarius,NA,Atheist/Agnostics,Journalist
cancer,NA,NA,Wikt:Statesman
NA,NA,Christian,Public figure
capricorn,NA,NA,Jurist
aries,NA,Christian,Priest
NA,NA,Christian,Diplomat
cancer,Europe,Christian,Historian
sagittarius,NA,Christian,Engineer
sagittarius,NA,Christian,Economist
NA,NA,Christian,Diplomat
pisces,NA,Christian,Jurist
sagittarius,NA,Christian,Jurist
NA,NA,Christian,Diplomat
NA,NA,NA,Mechanical engineering
NA,NA,NA,Civil service
capricorn,NA,Christian,Politician
capricorn,NA,Christian,Public figure
capricorn,NA,Christian,Stringer (journalism)
cancer,Europe,NA,Biologist
cancer,Europe,NA,Surgeon
aquarius,North America,Christian,Teacher
leo,South America,Christian,Lawyer
aries,South America,Christian,Civil engineer
aries,South America,Christian,Lawyer
NA,North America,NA,Lawyer
NA,North America,NA,Politician
leo,South America,Christian,Economist
cancer,South America,Christian,Lawyer
NA,South America,Christian,Lawyer
capricorn,North America,NA,Physician
capricorn,North America,NA,Politician
NA,Europe,NA,Sailor
NA,Europe,NA,Sea captain
libra,South America,Christian,Lawyer
libra,South America,Christian,Economist
libra,North America,NA,Agronomy
aries,North America,NA,Surgeon
aquarius,NA,NA,Lawyer
libra,NA,NA,Jurist
NA,NA,Jew,Attorneys in the United States
NA,NA,Jew,Diplomatic corps
aries,Oceania,NA,Lawyer
virgo,NA,Christian,Insurance
aries,NA,NA,Lithography
sagittarius,NA,Christian,Military
virgo,NA,NA,Literary editor
NA,Africa,Christian,Soldier
NA,Africa,Christian,Attorney at law
gemini,NA,NA,Soldier
gemini,NA,NA,Accountant
gemini,NA,NA,Wool classing
aries,NA,Christian,Auction
scorpio,NA,NA,Physician
scorpio,NA,NA,Professor
scorpio,Asia,NA,Politician
scorpio,Asia,NA,Actor
scorpio,Asia,NA,Television presenter
gemini,North America,Christian,Farmer
aquarius,NA,NA,Architect
scorpio,NA,NA,Military
leo,South America,NA,Lawyer
NA,NA,Christian,Environmentalism
NA,NA,Christian,Community organizing
gemini,South America,NA,Diplomat
gemini,South America,NA,Scholarly method
NA,South America,Christian,Lawyer
capricorn,NA,Christian,Teacher
NA,Asia,Muslim,Politician
NA,Asia,Muslim,Diplomat
NA,NA,Muslim,Civil engineer
NA,Asia,Muslim,Pilot (aeronautics)
NA,NA,Muslim,Politician
NA,NA,Muslim,Chancellor
NA,Africa,Muslim,Diplomat
NA,Europe,NA,Lawyer
virgo,Asia,Muslim,Civil service
gemini,Europe,Muslim,Jurist
pisces,NA,Muslim,Physician
capricorn,Asia,Muslim,Publishing
capricorn,Asia,Muslim,Professor
NA,NA,Muslim,Politician
NA,NA,Muslim,Tribal chief
cancer,NA,Muslim,Engineer
gemini,Asia,Muslim,Politician
gemini,Europe,NA,Politician
cancer,NA,Muslim,Agriculture
NA,NA,Muslim,Businessperson
taurus,Asia,NA,Lawyer
pisces,NA,NA,Librarian
cancer,Africa,Christian,Women's rights
cancer,Africa,Christian,Politics
cancer,Africa,Christian,Teacher
capricorn,NA,NA,Civil service
capricorn,NA,NA,Teacher
leo,Oceania,NA,Lawyer
pisces,Asia,Muslim,Politician
aquarius,NA,NA,Lawyer
aquarius,NA,NA,Journalist
aquarius,NA,NA,Politician
aquarius,NA,NA,Diplomat
pisces,NA,NA,Lawyer
aquarius,NA,NA,Barrister
pisces,Africa,Muslim,Consultant
pisces,Africa,Muslim,Civil engineer
pisces,Africa,Muslim,Quantity surveyor
sagittarius,NA,Hindu,Social work
NA,NA,Muslim,Politician
NA,NA,Muslim,Government contractor
virgo,North America,NA,Politician
libra,NA,Christian,Lawyer
taurus,Asia,NA,Politician
taurus,Asia,NA,Teacher
virgo,North America,NA,Politician
pisces,North America,NA,Teacher
pisces,North America,NA,Head teacher
pisces,North America,NA,Plumber
scorpio,NA,NA,Secretary
libra,North America,NA,Lawyer
aquarius,NA,NA,Professor
aquarius,NA,NA,Agriculture
aquarius,NA,NA,Social work
aquarius,Europe,Christian,Philology
gemini,NA,Christian,Professor
gemini,NA,Christian,Acting
gemini,North America,NA,Lawyer
gemini,NA,NA,Physician
gemini,NA,NA,Psychiatrist
virgo,Europe,NA,Politician
pisces,NA,Hindu,Farmer
virgo,Asia,NA,Politician
gemini,NA,NA,Agriculture
NA,Europe,NA,Captain general
NA,Europe,NA,Military
NA,Europe,NA,Notary
NA,South America,Christian,Military
NA,South America,NA,Military
NA,Europe,NA,Military
leo,NA,Christian,Universalist Church of America
aquarius,NA,NA,Politician
aquarius,NA,NA,Businessperson
capricorn,NA,NA,Politician
capricorn,NA,NA,Tax collector
taurus,NA,Christian,Society of Jesus
pisces,NA,Christian,Society of Jesus
taurus,South America,NA,Economist
NA,Africa,Muslim,Mining engineering
taurus,Africa,Muslim,Trade union
taurus,Africa,Muslim,Lecturer
taurus,NA,NA,Lawyer
taurus,NA,NA,Journalist
taurus,NA,NA,Businessperson
scorpio,NA,NA,Tutor
virgo,NA,Atheist/Agnostics,Writer
taurus,Europe,NA,Officer (armed forces)
taurus,NA,NA,Lawyer
taurus,NA,NA,Medical research
taurus,NA,NA,Surgeon
aquarius,NA,Muslim,Politician
virgo,NA,NA,Lawyer
virgo,NA,NA,Politician
scorpio,NA,Christian,Politician
scorpio,NA,Christian,Minister (Christianity)
pisces,Asia,Christian,Lawyer
pisces,Asia,Christian,Politician
sagittarius,North America,NA,Politician
sagittarius,North America,NA,Diplomat
sagittarius,North America,NA,Secretary
libra,NA,NA,Literary criticism
gemini,NA,NA,Lawyer
cancer,NA,Christian,Lawyer
capricorn,North America,Christian,Lawyer
capricorn,North America,Christian,Historic preservation
capricorn,North America,Christian,Ranch
virgo,NA,NA,Lawyer
pisces,North America,Christian,Attorney at law
taurus,NA,NA,Journalist
taurus,NA,NA,Civil service
NA,Africa,Muslim,Education
libra,NA,NA,Sociology
capricorn,NA,Muslim,Businessperson
cancer,Africa,NA,Lawyer
aquarius,Asia,Hindu,Politician
libra,NA,Buddhist,Lawyer
capricorn,NA,Hindu,Farmer
virgo,NA,Hindu,Politician
NA,NA,Christian,Politician
sagittarius,Asia,NA,Basketball
sagittarius,Asia,NA,Civil service
leo,NA,Muslim,Chartered Surveyor
scorpio,North America,NA,Politician
scorpio,North America,NA,Businessperson
scorpio,North America,NA,Bank
capricorn,Africa,NA,Politician
scorpio,South America,Christian,Economist
NA,NA,Muslim,Mufti
NA,Europe,NA,Labrador
leo,NA,Christian,Lawyer
leo,NA,Christian,Journalist
leo,NA,Christian,Politician
gemini,Asia,Christian,Lawyer
leo,NA,NA,Politician
NA,Europe,NA,Sailor
scorpio,North America,NA,Brigadier general
leo,NA,NA,Senate of the Philippines
sagittarius,Europe,NA,Veracruz
aries,NA,NA,Politician
NA,Europe,NA,Politician
gemini,Europe,NA,Professor
libra,NA,NA,Anthropology
NA,Europe,Christian,Law
NA,Europe,NA,Military
aquarius,Europe,NA,Lawyer
aries,Europe,NA,Politician
leo,NA,NA,Physician
virgo,Europe,NA,Lawyer
aquarius,Europe,Christian,Officer (armed forces)
capricorn,Europe,NA,Lawyer
taurus,NA,Christian,Professor
virgo,Europe,NA,Economist
aries,Europe,Christian,Officer (armed forces)
cancer,NA,NA,Journalist
gemini,NA,NA,Teacher
taurus,NA,NA,Teacher
taurus,NA,NA,Social work
capricorn,Asia,Buddhist,Lawyer
capricorn,NA,Buddhist,Lawyer
gemini,NA,Muslim,Diplomat
NA,Africa,Muslim,Telecommunications engineering
leo,NA,Muslim,Politics of Afghanistan
virgo,NA,Muslim,Politician
aquarius,NA,NA,Lawyer
sagittarius,NA,NA,Journalist
pisces,NA,NA,Lawyer
NA,NA,NA,Politician
libra,NA,NA,Politician
libra,NA,NA,Teacher
